time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-01-17,125.10,128.08,124.59,127.15,3543613,FPT,2026-02-10,VCI
2025-01-20,127.15,128.34,126.46,128.00,2222776,FPT,2026-02-10,VCI
2025-01-21,128.43,129.19,127.15,127.91,2487666,FPT,2026-02-10,VCI
2025-01-22,127.66,128.51,127.32,127.74,2791445,FPT,2026-02-10,VCI
2025-01-23,128.08,133.12,128.00,131.67,7071025,FPT,2026-02-10,VCI
2025-01-24,131.50,131.84,130.90,130.90,3663137,FPT,2026-02-10,VCI
2025-02-03,126.29,127.32,123.99,124.16,12782345,FPT,2026-02-10,VCI
2025-02-04,124.59,125.44,123.99,124.76,5484258,FPT,2026-02-10,VCI
2025-02-05,125.35,125.87,124.42,124.84,5215921,FPT,2026-02-10,VCI
2025-02-06,125.44,125.70,124.24,125.01,3436430,FPT,2026-02-10,VCI
2025-02-07,125.01,125.18,124.42,124.67,3871195,FPT,2026-02-10,VCI
2025-02-10,124.16,124.16,121.17,121.17,7778331,FPT,2026-02-10,VCI
2025-02-11,121.34,124.07,119.55,124.07,5374143,FPT,2026-02-10,VCI
2025-02-12,124.24,124.33,123.14,123.73,1894041,FPT,2026-02-10,VCI
2025-02-13,123.73,123.73,121.77,122.11,2864744,FPT,2026-02-10,VCI
2025-02-14,122.88,123.73,122.54,123.65,3258612,FPT,2026-02-10,VCI
2025-02-17,123.73,123.73,122.37,122.54,2476462,FPT,2026-02-10,VCI
2025-02-18,122.71,123.22,122.11,122.79,1670138,FPT,2026-02-10,VCI
2025-02-19,122.79,123.65,122.11,122.88,3035921,FPT,2026-02-10,VCI
2025-02-20,123.05,123.39,122.03,122.03,3392942,FPT,2026-02-10,VCI
2025-02-21,121.86,121.94,120.75,121.17,5328132,FPT,2026-02-10,VCI
2025-02-24,121.17,121.17,119.04,119.89,7522473,FPT,2026-02-10,VCI
2025-02-25,119.81,119.81,117.93,118.61,6832220,FPT,2026-02-10,VCI
2025-02-26,118.70,121.00,118.53,121.00,3331505,FPT,2026-02-10,VCI
2025-02-27,121.17,121.34,120.06,120.58,3433107,FPT,2026-02-10,VCI
2025-02-28,119.55,120.40,118.61,119.72,4704828,FPT,2026-02-10,VCI
2025-03-03,119.89,120.66,119.72,119.89,2546980,FPT,2026-02-10,VCI
2025-03-04,119.04,119.98,118.87,119.47,3480042,FPT,2026-02-10,VCI
2025-03-05,119.47,119.55,118.70,118.70,2862185,FPT,2026-02-10,VCI
2025-03-06,119.04,122.45,119.04,120.83,6428376,FPT,2026-02-10,VCI
2025-03-07,120.92,121.77,120.40,120.66,2966941,FPT,2026-02-10,VCI
2025-03-10,120.75,120.75,118.78,118.87,5343134,FPT,2026-02-10,VCI
2025-03-11,117.76,118.19,116.91,117.33,5801595,FPT,2026-02-10,VCI
2025-03-12,117.50,118.36,115.97,115.97,6229823,FPT,2026-02-10,VCI
2025-03-13,116.14,117.76,116.14,116.48,3630282,FPT,2026-02-10,VCI
2025-03-14,115.71,116.31,111.62,112.13,16174178,FPT,2026-02-10,VCI
2025-03-17,112.30,112.72,110.59,110.93,6750806,FPT,2026-02-10,VCI
2025-03-18,111.02,112.81,110.93,110.93,5538119,FPT,2026-02-10,VCI
2025-03-19,111.02,111.44,105.39,106.32,18229064,FPT,2026-02-10,VCI
2025-03-20,106.32,108.20,106.24,106.67,8231543,FPT,2026-02-10,VCI
2025-03-21,106.67,110.08,106.67,109.23,6450846,FPT,2026-02-10,VCI
2025-03-24,109.65,110.34,108.63,110.08,5114180,FPT,2026-02-10,VCI
2025-03-25,110.76,110.85,107.95,107.95,5662235,FPT,2026-02-10,VCI
2025-03-26,107.95,107.95,104.70,104.96,9787345,FPT,2026-02-10,VCI
2025-03-27,104.11,107.95,103.34,107.69,6486187,FPT,2026-02-10,VCI
2025-03-28,107.60,107.86,105.81,105.81,2959445,FPT,2026-02-10,VCI
2025-03-31,105.30,105.30,103.25,103.25,5435725,FPT,2026-02-10,VCI
2025-04-01,104.11,104.28,101.38,102.83,7866837,FPT,2026-02-10,VCI
2025-04-02,103.42,104.36,103.08,104.11,3932911,FPT,2026-02-10,VCI
2025-04-03,97.88,100.35,96.85,96.85,11536434,FPT,2026-02-10,VCI
2025-04-04,90.11,97.19,90.11,96.43,21606397,FPT,2026-02-10,VCI
2025-04-08,90.45,92.16,89.68,89.68,16338312,FPT,2026-02-10,VCI
