Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
FPT,2025,4,0.53,1.01,0.40,2.57,0.88,4.36,60.57,17.50,34.10,112.17,20.85,0.15,0.35,0.12,0.28,0.17,0.12,13883301950079.00,3116578707611,0.01,1.40,0.25,1.35,-15.05,2.01,168647204979000.00,1703507121.00,17.96,4.62,2.41,16.52,1469.15,21416.77,13.36,FPT,2026-02-10,VCI
FPT,2025,3,0.52,0.93,0.40,2.51,0.87,4.21,59.52,18.39,29.58,107.49,19.85,0.17,0.38,0.14,0.27,0.17,0.12,13663353950005.00,2955006913528,0.01,1.48,0.27,1.42,-12.65,1.93,170010010675800.00,1703507121.00,18.90,4.75,2.52,14.83,1429.31,21008.50,13.67,FPT,2026-02-10,VCI
FPT,2025,2,0.65,1.04,0.42,2.34,0.90,4.30,59.78,18.94,30.49,109.22,19.27,0.14,0.36,0.14,0.28,0.17,0.12,13405570483865.00,2317066834508,0.00,1.40,0.27,1.34,-10.69,2.04,157404057980400.00,1703507121.00,18.14,4.73,2.38,15.15,1325.19,19548.20,13.20,FPT,2026-02-10,VCI
FPT,2025,1,0.54,0.95,0.41,2.22,0.93,4.40,59.84,19.11,31.63,110.58,19.10,0.16,0.39,0.14,0.28,0.19,0.12,13347374679962.00,2595124918148,0.00,1.36,0.20,1.30,-17.03,1.95,188277058506200.00,1481330122.00,22.65,5.85,2.90,18.93,1467.80,21719.61,15.48,FPT,2026-02-10,VCI
FPT,2024,4,0.43,1.02,0.41,2.10,0.95,4.42,56.90,17.32,32.76,106.97,21.08,0.17,0.36,0.12,0.29,0.21,0.12,13043646259024.00,3052680751061,0.01,1.31,0.27,1.25,-22.64,2.02,170644025228000.00,1471069183.00,21.60,5.73,2.72,14.50,1423.95,20251.58,14.03,FPT,2026-02-10,VCI
FPT,2024,3,0.43,0.91,0.41,2.08,0.94,4.28,60.21,19.58,29.84,109.64,18.64,0.18,0.39,0.13,0.27,0.20,0.12,12360099630987.00,2787134855818,0.01,1.38,0.26,1.31,-21.63,1.91,213452138453300.00,1471069183.00,28.35,7.16,3.56,20.65,1419.96,20254.83,18.27,FPT,2026-02-10,VCI
FPT,2024,2,0.52,0.99,0.43,1.92,0.93,4.21,59.49,19.63,29.77,108.90,18.59,0.15,0.37,0.12,0.28,0.19,0.11,11774915228161.00,2350486898150,0.00,1.30,0.22,1.24,-15.66,1.99,200957653881600.00,1460448066.00,28.14,7.31,3.48,18.69,1283.96,18818.60,18.33,FPT,2026-02-10,VCI
FPT,2024,1,0.54,0.95,0.44,1.86,0.90,4.16,58.71,21.08,29.79,109.57,17.32,0.16,0.39,0.13,0.27,0.18,0.11,11256374502773.00,2318045278330,0.00,1.30,0.22,1.23,-16.82,1.95,195407951230800.00,1460448066.00,28.83,7.28,3.55,18.98,1231.15,18372.18,18.70,FPT,2026-02-10,VCI
FPT,2023,4,0.48,1.01,0.46,1.76,0.94,4.10,59.13,21.73,32.84,113.70,16.80,0.16,0.38,0.12,0.28,0.19,0.12,10738142058051.00,2335762903222,0.01,1.24,0.28,1.18,-11.30,2.01,146681405062500.00,1269968875.00,22.64,5.87,2.79,15.38,1360.98,19663.01,15.22,FPT,2026-02-10,VCI
FPT,2023,3,0.68,1.19,0.47,1.67,0.91,4.12,58.83,24.80,32.55,116.18,14.72,0.17,0.40,0.13,0.27,0.17,0.11,10190190787133.00,2288690162217,0.01,1.20,0.22,1.14,-8.62,2.19,120266052462500.00,1269968875.00,19.67,5.09,2.36,15.89,1369.59,18607.81,13.44,FPT,2026-02-10,VCI
FPT,2023,2,0.69,1.12,0.43,1.68,0.89,4.06,58.56,27.27,34.55,120.38,13.38,0.15,0.37,0.12,0.27,0.16,0.11,9565749710738.00,1919969014996,0.01,1.24,0.20,1.17,-9.04,2.12,122424999550000.00,1269968875.00,20.98,5.07,2.53,18.30,1188.39,19014.57,14.65,FPT,2026-02-10,VCI
FPT,2023,1,0.47,0.88,0.44,1.59,0.86,3.99,58.46,29.25,36.01,123.72,12.48,0.16,0.39,0.13,0.27,0.18,0.10,9132115477728.00,1873515001905,0.00,1.28,0.14,1.19,-12.66,1.88,95629596784500.00,1269981365.00,17.14,4.22,2.08,17.53,1176.05,17842.09,11.95,FPT,2026-02-10,VCI
FPT,2022,4,0.55,1.04,0.47,1.49,0.84,3.92,58.89,25.46,41.30,125.66,14.34,0.15,0.40,0.10,0.23,0.18,0.10,8627621794997.00,1998115841063,0.01,1.26,0.26,1.18,-12.76,2.04,87323315131200.00,1097026572.00,16.41,4.15,1.98,17.24,1232.06,19185.01,12.30,FPT,2026-02-10,VCI
