time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-01-17,21.92,22.08,21.75,22.08,13956621,HPG,2026-02-10,VCI
2025-01-20,22.08,22.29,22.04,22.04,9665010,HPG,2026-02-10,VCI
2025-01-21,22.17,22.17,21.83,21.92,10429273,HPG,2026-02-10,VCI
2025-01-22,22.00,22.00,21.79,21.79,10285189,HPG,2026-02-10,VCI
2025-01-23,21.83,22.29,21.79,22.21,15800444,HPG,2026-02-10,VCI
2025-01-24,22.21,22.21,22.04,22.12,10409008,HPG,2026-02-10,VCI
2025-02-03,22.08,22.17,21.87,22.00,16987354,HPG,2026-02-10,VCI
2025-02-04,22.08,22.50,22.04,22.37,17370750,HPG,2026-02-10,VCI
2025-02-05,22.37,22.50,22.29,22.33,14477772,HPG,2026-02-10,VCI
2025-02-06,22.33,22.46,22.29,22.33,13545529,HPG,2026-02-10,VCI
2025-02-07,22.33,22.33,22.17,22.21,12556995,HPG,2026-02-10,VCI
2025-02-10,22.08,22.08,21.17,21.17,61143342,HPG,2026-02-10,VCI
2025-02-11,21.21,21.75,21.21,21.75,28914141,HPG,2026-02-10,VCI
2025-02-12,21.83,21.83,21.54,21.54,13674965,HPG,2026-02-10,VCI
2025-02-13,21.62,21.67,21.54,21.58,9507535,HPG,2026-02-10,VCI
2025-02-14,21.75,21.92,21.67,21.75,18592795,HPG,2026-02-10,VCI
2025-02-17,21.79,21.87,21.71,21.79,14380031,HPG,2026-02-10,VCI
2025-02-18,21.96,22.17,21.92,22.12,24951942,HPG,2026-02-10,VCI
2025-02-19,22.17,22.17,22.00,22.08,13664314,HPG,2026-02-10,VCI
2025-02-20,22.12,22.17,22.08,22.12,11920169,HPG,2026-02-10,VCI
2025-02-21,22.12,22.17,22.00,22.04,11076712,HPG,2026-02-10,VCI
2025-02-24,23.58,23.58,22.96,23.08,73928603,HPG,2026-02-10,VCI
2025-02-25,23.00,23.08,22.67,22.92,31597535,HPG,2026-02-10,VCI
2025-02-26,23.00,23.29,22.96,23.12,31840327,HPG,2026-02-10,VCI
2025-02-27,23.17,23.71,23.00,23.71,51151649,HPG,2026-02-10,VCI
2025-02-28,23.67,23.67,23.29,23.33,24230428,HPG,2026-02-10,VCI
2025-03-03,23.37,23.54,23.33,23.37,20678579,HPG,2026-02-10,VCI
2025-03-04,23.37,23.37,23.04,23.21,27441800,HPG,2026-02-10,VCI
2025-03-05,23.21,23.25,22.96,22.96,30401582,HPG,2026-02-10,VCI
2025-03-06,23.00,23.29,23.00,23.29,36989136,HPG,2026-02-10,VCI
2025-03-07,23.33,23.42,23.12,23.37,33148420,HPG,2026-02-10,VCI
2025-03-10,23.42,23.50,23.29,23.29,23601359,HPG,2026-02-10,VCI
2025-03-11,23.00,23.46,23.00,23.46,26105585,HPG,2026-02-10,VCI
2025-03-12,23.50,23.50,23.17,23.17,20664501,HPG,2026-02-10,VCI
2025-03-13,23.21,23.37,23.08,23.08,24826490,HPG,2026-02-10,VCI
2025-03-14,23.08,23.21,22.96,22.96,18298151,HPG,2026-02-10,VCI
2025-03-17,23.25,23.46,23.12,23.21,19738337,HPG,2026-02-10,VCI
2025-03-18,23.25,23.37,23.00,23.00,18761045,HPG,2026-02-10,VCI
2025-03-19,23.00,23.00,22.58,22.71,37953539,HPG,2026-02-10,VCI
2025-03-20,22.75,22.87,22.54,22.62,25038597,HPG,2026-02-10,VCI
2025-03-21,22.58,22.71,22.54,22.62,18921643,HPG,2026-02-10,VCI
2025-03-24,22.62,22.71,22.42,22.62,16247689,HPG,2026-02-10,VCI
2025-03-25,22.71,22.83,22.58,22.67,20115102,HPG,2026-02-10,VCI
2025-03-26,22.67,23.29,22.62,22.96,43997569,HPG,2026-02-10,VCI
2025-03-27,23.08,23.08,22.87,22.92,12023359,HPG,2026-02-10,VCI
2025-03-28,22.87,22.92,22.58,22.62,17090800,HPG,2026-02-10,VCI
2025-03-31,22.54,22.58,22.29,22.29,26565641,HPG,2026-02-10,VCI
2025-04-01,22.33,22.54,22.29,22.50,14037535,HPG,2026-02-10,VCI
2025-04-02,22.62,22.83,22.58,22.71,16797845,HPG,2026-02-10,VCI
2025-04-03,21.50,22.04,21.12,21.12,80792245,HPG,2026-02-10,VCI
2025-04-04,19.67,20.71,19.67,20.50,73222029,HPG,2026-02-10,VCI
2025-04-08,19.58,20.00,19.08,19.08,35517471,HPG,2026-02-10,VCI
2025-04-09,17.75,18.58,17.75,17.75,77212228,HPG,2026-02-10,VCI
2025-04-10,18.96,18.96,18.96,18.96,3066909,HPG,2026-02-10,VCI
2025-04-11,20.17,20.25,19.58,20.25,76305239,HPG,2026-02-10,VCI
2025-04-14,20.67,21.46,20.62,21.12,51254525,HPG,2026-02-10,VCI
2025-04-15,20.96,21.79,20.87,21.54,50611194,HPG,2026-02-10,VCI
2025-04-16,21.58,21.67,20.87,21.25,25738379,HPG,2026-02-10,VCI
2025-04-17,21.00,21.33,20.67,21.25,24465980,HPG,2026-02-10,VCI
2025-04-18,21.37,21.46,21.21,21.21,20785143,HPG,2026-02-10,VCI
2025-04-21,21.21,21.21,20.79,20.79,17327776,HPG,2026-02-10,VCI
2025-04-22,20.67,20.92,19.50,20.87,47493704,HPG,2026-02-10,VCI
2025-04-23,21.25,21.42,21.12,21.29,22246788,HPG,2026-02-10,VCI
2025-04-24,21.42,21.42,21.00,21.33,17227712,HPG,2026-02-10,VCI
2025-04-25,21.21,21.42,21.04,21.42,24864961,HPG,2026-02-10,VCI
2025-04-28,21.42,21.42,21.12,21.37,9768183,HPG,2026-02-10,VCI
2025-04-29,21.37,21.42,21.17,21.25,14478374,HPG,2026-02-10,VCI
2025-05-05,21.37,21.46,21.12,21.42,12563050,HPG,2026-02-10,VCI
2025-05-06,21.46,21.71,21.21,21.21,20963206,HPG,2026-02-10,VCI
2025-05-07,21.12,21.25,21.12,21.17,11518736,HPG,2026-02-10,VCI
2025-05-08,21.17,21.54,21.08,21.42,19907154,HPG,2026-02-10,VCI
2025-05-09,21.42,21.46,21.25,21.37,11024723,HPG,2026-02-10,VCI
2025-05-12,21.29,21.46,20.62,21.17,64778664,HPG,2026-02-10,VCI
2025-05-13,21.33,21.67,21.33,21.50,20324199,HPG,2026-02-10,VCI
2025-05-14,21.58,22.12,21.54,21.79,34103088,HPG,2026-02-10,VCI
2025-05-15,21.83,21.83,21.54,21.79,22639684,HPG,2026-02-10,VCI
2025-05-16,21.79,21.83,21.50,21.50,16827367,HPG,2026-02-10,VCI
2025-05-19,21.46,21.62,21.29,21.37,15012607,HPG,2026-02-10,VCI
2025-05-20,21.33,21.50,21.33,21.37,17464910,HPG,2026-02-10,VCI
2025-05-21,21.46,21.75,21.37,21.46,20165788,HPG,2026-02-10,VCI
2025-05-22,21.46,21.62,21.29,21.37,24383807,HPG,2026-02-10,VCI
2025-05-23,21.46,21.54,21.29,21.33,11111572,HPG,2026-02-10,VCI
2025-05-26,21.37,21.37,20.87,21.29,27453941,HPG,2026-02-10,VCI
2025-05-27,21.29,21.79,21.29,21.29,26913678,HPG,2026-02-10,VCI
2025-05-28,21.46,21.58,21.29,21.33,15622229,HPG,2026-02-10,VCI
2025-05-29,21.42,21.50,21.25,21.29,16448281,HPG,2026-02-10,VCI
2025-05-30,21.37,22.21,21.37,21.46,65014524,HPG,2026-02-10,VCI
2025-06-02,21.33,21.37,21.12,21.29,21950524,HPG,2026-02-10,VCI
2025-06-03,21.50,21.83,21.46,21.67,31062339,HPG,2026-02-10,VCI
2025-06-04,21.75,22.00,21.62,21.62,25708828,HPG,2026-02-10,VCI
2025-06-05,21.67,21.71,21.42,21.46,18808450,HPG,2026-02-10,VCI
2025-06-06,21.71,22.08,21.58,21.71,42269983,HPG,2026-02-10,VCI
2025-06-09,21.75,22.00,21.62,21.92,25004908,HPG,2026-02-10,VCI
2025-06-10,22.08,22.37,21.83,21.83,29436635,HPG,2026-02-10,VCI
2025-06-11,21.92,21.96,21.67,21.75,16564351,HPG,2026-02-10,VCI
2025-06-12,21.79,22.58,21.79,22.33,52244579,HPG,2026-02-10,VCI
2025-06-13,22.17,22.29,21.92,22.00,38795445,HPG,2026-02-10,VCI
2025-06-16,21.96,22.50,21.96,22.29,29753708,HPG,2026-02-10,VCI
2025-06-17,22.42,22.58,22.29,22.37,26645247,HPG,2026-02-10,VCI
2025-06-18,22.42,22.67,22.33,22.62,31488496,HPG,2026-02-10,VCI
2025-06-19,22.62,22.67,22.33,22.42,23431044,HPG,2026-02-10,VCI
2025-06-20,22.50,22.58,22.37,22.50,23434378,HPG,2026-02-10,VCI
2025-06-23,22.37,22.50,22.17,22.37,22214192,HPG,2026-02-10,VCI
2025-06-24,22.54,22.67,22.46,22.50,27891516,HPG,2026-02-10,VCI
2025-06-25,22.58,22.87,22.46,22.67,38667411,HPG,2026-02-10,VCI
2025-06-26,23.05,23.15,22.75,22.80,38436669,HPG,2026-02-10,VCI
2025-06-27,22.95,22.95,22.75,22.85,16501158,HPG,2026-02-10,VCI
2025-06-30,22.90,22.95,22.70,22.70,19930857,HPG,2026-02-10,VCI
2025-07-01,22.75,22.90,22.60,22.65,19796627,HPG,2026-02-10,VCI
2025-07-02,22.65,22.90,22.55,22.90,18923070,HPG,2026-02-10,VCI
2025-07-03,23.00,23.65,23.00,23.10,42563897,HPG,2026-02-10,VCI
2025-07-04,23.15,23.25,23.10,23.25,19418237,HPG,2026-02-10,VCI
2025-07-07,23.70,23.70,23.40,23.60,36030224,HPG,2026-02-10,VCI
2025-07-08,23.65,24.80,23.55,24.70,77535019,HPG,2026-02-10,VCI
2025-07-09,24.80,25.10,24.60,24.75,43462900,HPG,2026-02-10,VCI
2025-07-10,24.85,25.20,24.55,25.15,85282300,HPG,2026-02-10,VCI
2025-07-11,25.25,26.25,25.05,26.00,65285300,HPG,2026-02-10,VCI
2025-07-14,26.20,26.45,25.55,25.75,49438500,HPG,2026-02-10,VCI
2025-07-15,25.80,26.00,25.50,25.50,46507000,HPG,2026-02-10,VCI
2025-07-16,25.45,26.20,25.40,26.10,45893600,HPG,2026-02-10,VCI
2025-07-17,26.20,26.35,25.90,26.00,56229600,HPG,2026-02-10,VCI
2025-07-18,26.00,26.10,25.75,25.90,40723400,HPG,2026-02-10,VCI
2025-07-21,26.40,27.00,26.10,26.20,55773600,HPG,2026-02-10,VCI
2025-07-22,26.15,26.45,26.00,26.45,31504400,HPG,2026-02-10,VCI
2025-07-23,26.55,26.95,26.40,26.40,43124000,HPG,2026-02-10,VCI
2025-07-24,26.40,26.45,25.90,26.00,51907400,HPG,2026-02-10,VCI
2025-07-25,26.00,26.30,25.90,26.05,51078400,HPG,2026-02-10,VCI
2025-07-28,26.10,26.85,26.00,26.35,99592800,HPG,2026-02-10,VCI
2025-07-29,26.45,26.60,25.35,25.35,82604800,HPG,2026-02-10,VCI
2025-07-30,25.60,25.75,25.10,25.40,50186000,HPG,2026-02-10,VCI
2025-07-31,25.45,25.60,24.75,24.95,85332500,HPG,2026-02-10,VCI
2025-08-01,24.85,25.30,24.80,25.15,50798600,HPG,2026-02-10,VCI
2025-08-04,25.10,25.45,24.95,25.30,37058100,HPG,2026-02-10,VCI
2025-08-05,25.45,27.05,25.45,26.40,215999100,HPG,2026-02-10,VCI
2025-08-06,26.75,27.70,26.65,27.10,96174200,HPG,2026-02-10,VCI
2025-08-07,27.35,28.55,27.00,28.50,139119300,HPG,2026-02-10,VCI
2025-08-08,28.60,28.65,27.60,28.00,121062500,HPG,2026-02-10,VCI
2025-08-11,28.15,28.45,27.80,28.15,67223000,HPG,2026-02-10,VCI
2025-08-12,28.35,29.10,28.15,28.50,84195900,HPG,2026-02-10,VCI
2025-08-13,28.55,28.60,27.85,28.10,79765000,HPG,2026-02-10,VCI
2025-08-14,28.20,28.45,28.00,28.20,76049900,HPG,2026-02-10,VCI
2025-08-15,28.45,28.80,27.85,28.00,107927600,HPG,2026-02-10,VCI
2025-08-18,28.30,28.80,28.20,28.40,69044400,HPG,2026-02-10,VCI
2025-08-19,28.60,28.70,28.10,28.15,63021900,HPG,2026-02-10,VCI
2025-08-20,28.20,28.25,27.05,27.40,101007400,HPG,2026-02-10,VCI
2025-08-21,27.45,27.80,27.30,27.40,69981700,HPG,2026-02-10,VCI
2025-08-22,26.95,27.10,26.00,26.00,132314200,HPG,2026-02-10,VCI
2025-08-25,26.50,26.75,25.85,25.95,68320100,HPG,2026-02-10,VCI
2025-08-26,26.10,27.20,26.10,27.20,51986200,HPG,2026-02-10,VCI
2025-08-27,27.25,27.25,26.75,26.75,85992500,HPG,2026-02-10,VCI
2025-08-28,26.95,27.50,26.85,27.10,63166300,HPG,2026-02-10,VCI
2025-08-29,27.20,27.85,27.05,27.50,81735200,HPG,2026-02-10,VCI
2025-09-03,27.40,29.00,27.25,28.15,119138500,HPG,2026-02-10,VCI
2025-09-04,28.45,29.90,28.35,29.85,141435100,HPG,2026-02-10,VCI
2025-09-05,30.00,30.10,28.80,28.80,95256400,HPG,2026-02-10,VCI
2025-09-08,28.70,29.75,28.65,28.90,141768400,HPG,2026-02-10,VCI
2025-09-09,29.20,29.25,28.20,28.85,73861200,HPG,2026-02-10,VCI
2025-09-10,28.85,29.20,28.40,28.85,52455800,HPG,2026-02-10,VCI
2025-09-11,28.70,29.20,28.00,29.15,71781900,HPG,2026-02-10,VCI
2025-09-12,29.20,30.10,29.15,30.00,104621000,HPG,2026-02-10,VCI
2025-09-15,30.25,30.85,30.10,30.35,88920500,HPG,2026-02-10,VCI
2025-09-16,30.55,30.55,29.75,29.95,66855600,HPG,2026-02-10,VCI
2025-09-17,29.90,30.25,29.20,29.20,124424600,HPG,2026-02-10,VCI
2025-09-18,29.35,29.40,28.60,29.15,75687000,HPG,2026-02-10,VCI
2025-09-19,29.30,29.40,28.80,29.25,45024800,HPG,2026-02-10,VCI
2025-09-22,29.25,29.25,28.30,28.40,66073800,HPG,2026-02-10,VCI
2025-09-23,28.55,28.85,28.45,28.65,24900000,HPG,2026-02-10,VCI
2025-09-24,28.65,29.05,28.25,29.05,30738900,HPG,2026-02-10,VCI
2025-09-25,29.15,29.30,28.75,28.80,34435400,HPG,2026-02-10,VCI
2025-09-26,28.85,29.20,28.55,28.55,38128900,HPG,2026-02-10,VCI
2025-09-29,28.55,28.90,28.40,28.60,38831200,HPG,2026-02-10,VCI
2025-09-30,28.55,28.60,27.90,28.15,53737200,HPG,2026-02-10,VCI
2025-10-01,28.30,28.50,28.10,28.30,29848500,HPG,2026-02-10,VCI
2025-10-02,28.35,28.65,28.05,28.10,30165900,HPG,2026-02-10,VCI
2025-10-03,28.10,28.10,27.35,27.65,58123500,HPG,2026-02-10,VCI
2025-10-06,28.10,29.20,28.10,29.20,71269500,HPG,2026-02-10,VCI
2025-10-07,29.20,29.35,29.00,29.00,41398600,HPG,2026-02-10,VCI
2025-10-08,29.25,29.40,28.75,29.20,59953000,HPG,2026-02-10,VCI
2025-10-09,29.40,29.40,28.85,28.95,42551700,HPG,2026-02-10,VCI
2025-10-10,29.00,29.75,28.90,29.60,62702300,HPG,2026-02-10,VCI
2025-10-13,29.05,29.25,28.85,29.00,80237700,HPG,2026-02-10,VCI
2025-10-14,29.05,29.25,28.30,28.35,84307900,HPG,2026-02-10,VCI
2025-10-15,28.40,28.70,28.20,28.25,34623200,HPG,2026-02-10,VCI
2025-10-16,28.25,28.80,28.00,28.25,44715300,HPG,2026-02-10,VCI
2025-10-17,28.30,28.65,28.00,28.00,46508200,HPG,2026-02-10,VCI
2025-10-20,27.90,28.25,26.05,26.05,102963100,HPG,2026-02-10,VCI
2025-10-21,26.30,27.00,26.00,26.80,74275800,HPG,2026-02-10,VCI
2025-10-22,26.90,26.90,26.15,26.70,37268800,HPG,2026-02-10,VCI
2025-10-23,26.75,27.00,26.50,26.50,23443400,HPG,2026-02-10,VCI
2025-10-24,26.50,26.70,26.10,26.40,30587700,HPG,2026-02-10,VCI
2025-10-27,26.75,26.85,26.25,26.25,27390800,HPG,2026-02-10,VCI
2025-10-28,26.35,26.80,26.15,26.80,28512100,HPG,2026-02-10,VCI
2025-10-29,26.90,27.55,26.90,27.25,39448900,HPG,2026-02-10,VCI
2025-10-30,27.40,27.40,26.90,26.90,23693500,HPG,2026-02-10,VCI
2025-10-31,26.90,27.10,26.70,26.70,19779100,HPG,2026-02-10,VCI
2025-11-03,26.75,26.90,26.05,26.05,28356600,HPG,2026-02-10,VCI
2025-11-04,26.15,26.85,25.95,26.75,37767100,HPG,2026-02-10,VCI
2025-11-05,26.45,26.75,26.25,26.30,20835300,HPG,2026-02-10,VCI
2025-11-06,26.35,26.50,26.10,26.10,21207600,HPG,2026-02-10,VCI
2025-11-07,26.15,26.55,26.00,26.05,55100200,HPG,2026-02-10,VCI
2025-11-10,26.20,26.75,26.10,26.45,48017900,HPG,2026-02-10,VCI
2025-11-11,26.60,26.90,26.45,26.60,31332100,HPG,2026-02-10,VCI
2025-11-12,26.65,27.10,26.65,27.00,30662900,HPG,2026-02-10,VCI
2025-11-13,27.00,27.05,26.55,26.55,18927500,HPG,2026-02-10,VCI
2025-11-14,26.50,26.95,26.50,26.90,22112200,HPG,2026-02-10,VCI
2025-11-17,27.05,27.35,27.05,27.30,32158300,HPG,2026-02-10,VCI
2025-11-18,27.25,27.60,27.15,27.50,35028300,HPG,2026-02-10,VCI
2025-11-19,27.50,28.35,27.45,27.60,56320700,HPG,2026-02-10,VCI
2025-11-20,27.70,27.80,27.15,27.25,23049300,HPG,2026-02-10,VCI
2025-11-21,27.15,27.45,26.90,27.40,22607900,HPG,2026-02-10,VCI
2025-11-24,27.40,27.55,27.10,27.10,14707800,HPG,2026-02-10,VCI
2025-11-25,27.15,27.35,26.90,26.90,24346200,HPG,2026-02-10,VCI
2025-11-26,26.95,27.20,26.85,27.10,19022200,HPG,2026-02-10,VCI
2025-11-27,27.20,27.30,26.90,26.90,13956200,HPG,2026-02-10,VCI
2025-11-28,26.90,27.05,26.55,26.55,20789300,HPG,2026-02-10,VCI
2025-12-01,26.65,26.75,26.50,26.50,19747100,HPG,2026-02-10,VCI
2025-12-02,26.55,26.65,26.20,26.50,26073200,HPG,2026-02-10,VCI
2025-12-03,26.60,26.85,26.45,26.80,21527600,HPG,2026-02-10,VCI
2025-12-04,26.95,27.45,26.90,27.30,35081200,HPG,2026-02-10,VCI
2025-12-05,27.35,27.35,27.00,27.00,17662100,HPG,2026-02-10,VCI
