Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
HPG,2025,4,0.91,0.97,1.02,1.71,0.65,1.55,17.94,137.39,63.44,218.77,2.66,0.12,0.14,0.08,0.13,0.09,0.06,28895883145722.00,5714129019562,0.00,1.10,0.09,0.54,-4.62,1.97,205318711621250,7675465855,13.29,1.59,1.32,13.08,503.03,16829.98,10.21,HPG,2026-02-10,VCI
HPG,2025,3,0.98,0.93,0.82,1.66,0.61,1.79,17.65,140.27,54.28,212.20,2.60,0.14,0.17,0.11,0.12,0.08,0.06,25611904933110.00,4932331977851,0.00,1.15,0.11,0.60,-6.07,1.93,209156444548750,7675465855,14.53,1.67,1.45,17.58,519.62,16342.68,11.67,HPG,2026-02-10,VCI
HPG,2025,2,0.99,0.98,0.53,1.59,0.63,1.98,16.03,137.62,54.65,208.29,2.65,0.15,0.18,0.12,0.12,0.08,0.06,23971069674678.00,5442064704912,0.00,1.13,0.12,0.56,-12.39,1.98,217599456989250,7675465855,16.20,1.79,1.53,56.27,554.56,15834.09,12.59,HPG,2026-02-10,VCI
HPG,2025,1,0.99,0.94,0.73,1.54,0.67,2.00,14.72,126.04,51.98,192.75,2.90,0.12,0.14,0.09,0.11,0.08,0.06,22752951358569.00,4339094411460,0.00,1.15,0.10,0.55,-6.92,1.94,197643245766250,7675465855,15.82,1.68,1.36,64.13,435.71,15334.70,12.29,HPG,2026-02-10,VCI
HPG,2024,4,0.96,0.96,0.59,1.49,0.67,1.99,13.61,122.55,53.14,189.29,2.98,0.10,0.13,0.08,0.11,0.07,0.06,21530395750845.00,3617378810991,0.00,1.15,0.09,0.54,-6.43,1.96,165343067670000,6396250200,13.75,1.45,1.19,25.02,439.11,17878.67,10.95,HPG,2026-02-10,VCI
HPG,2024,3,0.92,0.89,0.61,1.46,0.69,1.97,16.21,120.31,51.45,187.97,3.03,0.11,0.14,0.09,0.11,0.08,0.06,21671803666842.00,3689466990821,0.00,1.17,0.12,0.59,-7.03,1.89,165343067670000,6396250200,13.57,1.48,1.19,18.53,472.61,17446.15,10.88,HPG,2026-02-10,VCI
HPG,2024,2,0.85,0.90,0.64,1.42,0.69,1.87,16.22,119.55,52.11,187.88,3.05,0.10,0.13,0.08,0.11,0.08,0.06,20648884356500.00,4111552943160,0.00,1.15,0.18,0.60,-7.29,1.90,173018567910000,6396250200,15.49,1.59,1.30,18.62,518.94,16974.63,11.29,HPG,2026-02-10,VCI
HPG,2024,1,0.89,0.91,0.67,1.38,0.67,1.73,16.30,121.50,51.10,188.89,3.00,0.10,0.13,0.09,0.09,0.07,0.05,18793605149258.00,3196325674676,0.00,1.19,0.16,0.65,-5.03,1.91,182293130700000,6396250200,19.58,1.73,1.48,16.10,448.79,16497.24,13.17,HPG,2026-02-10,VCI
HPG,2023,4,0.74,0.83,0.70,1.34,0.66,1.67,13.74,121.11,48.45,183.30,3.01,0.11,0.13,0.09,0.07,0.06,0.04,16443221709448.00,3710717506314,0.00,1.16,0.17,0.67,-5.22,1.83,174152831715000,5814785700,25.48,1.69,1.46,20.15,511.24,17674.02,13.53,HPG,2026-02-10,VCI
