cp,năm,kỳ,tài_sản_ngắn_hạn_đồng,tiền_và_tương_đương_tiền_đồng,giá_trị_thuần_đầu_tư_ngắn_hạn_đồng,các_khoản_phải_thu_ngắn_hạn_đồng,hàng_tồn_kho_ròng,tài_sản_lưu_động_khác,tài_sản_dài_hạn_đồng,phải_thu_về_cho_vay_dài_hạn_đồng,tài_sản_cố_định_đồng,giá_trị_ròng_tài_sản_đầu_tư,đầu_tư_dài_hạn_đồng,lợi_thế_thương_mại,tài_sản_dài_hạn_khác,tổng_cộng_tài_sản_đồng,nợ_phải_trả_đồng,nợ_ngắn_hạn_đồng,nợ_dài_hạn_đồng,vốn_chủ_sở_hữu_đồng,vốn_và_các_quỹ_đồng,các_quỹ_khác,lãi_chưa_phân_phối_đồng,vốn_ngân_sách_nhà_nước_và_quỹ_khác,lợi_ích_của_cổ_đông_thiểu_số,tổng_cộng_nguồn_vốn_đồng,trả_trước_cho_người_bán_ngắn_hạn_đồng,phải_thu_về_cho_vay_ngắn_hạn_đồng,hàng_tồn_kho_ròng_đồng,tài_sản_lưu_động_khác_đồng,quỹ_đầu_tư_và_phát_triển_đồng,cổ_phiếu_phổ_thông_đồng,vốn_góp_của_chủ_sở_hữu_đồng,trái_phiếu_chuyển_đổi_đồng,vay_và_nợ_thuê_tài_chính_dài_hạn_đồng,người_mua_trả_tiền_trước_ngắn_hạn_đồng,vay_và_nợ_thuê_tài_chính_ngắn_hạn_đồng,lợi_thế_thương_mại_đồng,trả_trước_dài_hạn_đồng,tài_sản_dài_hạn_khác_đồng,phải_thu_dài_hạn_khác_đồng,phải_thu_dài_hạn_đồng,symbol,extracted_at,source
VIC,2025,4,660924812000000,73526497000000,8253330000000,257058692000000,206993940000000,115092353000000,460532216000000,1546164000000,194150775000000,19714879000000,39623386000000,0,54401563000000,1121457028000000,970001804000000,592409830000000,377591974000000,151455224000000,151455224000000,15306530000000,55668366000000,0,2819223000000,1121457028000000,84801731000000,8438394000000,218339351000000,96636385000000,0,77060310000000,77334919000000,3081207000000,221434236000000,139356585000000,113955484000000,3955994000000,9249236000000,32104649000000,18864737000000,21114307000000,VIC,2026-02-10,VCI
VIC,2025,3,590641891000000,72150719000000,7918430000000,267274537000000,185624958000000,57673247000000,497228434000000,11892765000000,185370711000000,18934011000000,32709444000000,0,109926939000000,1087870325000000,925966426000000,557896380000000,368070046000000,161903899000000,161903899000000,15306530000000,52505390000000,0,16193864000000,1087870325000000,72962931000000,24092071000000,199871279000000,39384463000000,0,38530155000000,38804764000000,3411935000000,204805693000000,154865321000000,117122101000000,4097359000000,9212159000000,24743866000000,12733642000000,25550797000000,VIC,2026-02-10,VCI
VIC,2025,2,529134246000000,74759825000000,9592662000000,254128765000000,135055347000000,55597647000000,429101195000000,22880838000000,184762254000000,11603410000000,31399347000000,0,45416514000000,958235441000000,799543551000000,512360784000000,287182767000000,158691890000000,158691890000000,15306530000000,51052527000000,0,14336935000000,958235441000000,59998585000000,20180389000000,149377545000000,39184133000000,0,38236616000000,38785833000000,3806580000000,156309167000000,106640102000000,122630037000000,4238916000000,9225455000000,23026722000000,9701525000000,33675384000000,VIC,2026-02-10,VCI
VIC,2025,1,372183892000000,32491938000000,7480260000000,179643132000000,110814852000000,41753710000000,451086356000000,29615230000000,180969752000000,12770851000000,26832752000000,0,25912728000000,823270248000000,665817661000000,440710635000000,225107026000000,157452587000000,157452587000000,15306530000000,51447113000000,0,13026603000000,823270248000000,52193588000000,512206000000,124925405000000,27803173000000,0,38236616000000,38785833000000,3720189000000,149589087000000,90162798000000,98216347000000,4378934000000,8468210000000,19407044000000,58258943000000,89374815000000,VIC,2026-02-10,VCI
VIC,2024,4,396479911000000,42582366000000,8718884000000,190046565000000,114090183000000,41041913000000,440123992000000,23359127000000,182943333000000,13033418000000,27060860000000,0,21164104000000,836603903000000,682769422000000,505292040000000,177477382000000,153834481000000,153834481000000,15306530000000,44468350000000,0,16437647000000,836603903000000,40937213000000,1478525000000,127068459000000,25937361000000,0,38236616000000,38785833000000,3688998000000,129041914000000,138374890000000,95189145000000,4517414000000,8641393000000,19388427000000,57573484000000,82564248000000,VIC,2026-02-10,VCI
VIC,2024,3,423990500000000,27040242000000,6424590000000,217470663000000,128229866000000,44825139000000,367483444000000,2854876000000,186833298000000,15067665000000,23657660000000,0,17246291000000,791473944000000,627217065000000,470411783000000,156805282000000,164256879000000,164256879000000,15306530000000,41791856000000,0,29427206000000,791473944000000,38449157000000,10684528000000,139923090000000,29946013000000,0,38236616000000,38785833000000,3600189000000,115120855000000,97033850000000,96768964000000,1660480000000,7821923000000,16092357000000,11375130000000,15381144000000,VIC,2026-02-10,VCI
VIC,2024,2,351053988000000,28565428000000,4219258000000,168284080000000,106890810000000,43094412000000,371076200000000,15415355000000,184376245000000,16709756000000,30220404000000,0,12358292000000,722130188000000,559830905000000,414505239000000,145325666000000,162299283000000,162299283000000,15306530000000,36489289000000,0,32722567000000,722130188000000,36456365000000,2186313000000,118493519000000,28812013000000,0,38236616000000,38785833000000,0,111176545000000,69213109000000,110794386000000,1714600000000,7761315000000,16926510000000,11418442000000,27769220000000,VIC,2026-02-10,VCI
VIC,2024,1,350049998000000,26653084000000,4416936000000,177746167000000,99346636000000,41887175000000,343898795000000,2414656000000,175829606000000,15899295000000,33296747000000,0,9754046000000,693948793000000,536196058000000,394383059000000,141812999000000,157752735000000,157752735000000,15306530000000,36490377000000,0,27382060000000,693948793000000,37812849000000,11170022000000,109769644000000,28812013000000,0,38236616000000,38785833000000,0,106799696000000,52093288000000,119716720000000,403879000000,6243034000000,23947574000000,7833580000000,10997880000000,VIC,2026-02-10,VCI
VIC,2023,4,342609157000000,29289535000000,5671500000000,165398901000000,92730270000000,49518951000000,327007916000000,1147876000000,159594207000000,38210694000000,15252380000000,0,10246711000000,669617073000000,521595497000000,386669534000000,134925963000000,148021576000000,148021576000000,22021072000000,21809007000000,0,26468350000000,669617073000000,34411258000000,7637650000000,102504620000000,35843634000000,0,38236616000000,38785833000000,0,98789828000000,44000286000000,114522806000000,492625000000,5566420000000,13892460000000,5953109000000,7829676000000,VIC,2026-02-10,VCI
VIC,2023,3,298026710000000,16882015000000,7369738000000,152023108000000,83672447000000,38079402000000,327360635000000,518826000000,147864388000000,39451116000000,11014438000000,0,10104960000000,625387345000000,478444829000000,344773342000000,133671487000000,146942516000000,146942516000000,22020365000000,23428624000000,0,24077179000000,625387345000000,36512248000000,9426913000000,91859083000000,25299696000000,0,38139356000000,38688573000000,0,98292858000000,46585028000000,95183876000000,571009000000,6366189000000,9627698000000,6312876000000,7416267000000,VIC,2026-02-10,VCI
VIC,2023,2,279229101000000,18445846000000,4919214000000,144449651000000,84742609000000,26671781000000,319948038000000,5818300000000,143635620000000,39780799000000,10657937000000,0,10148849000000,599177139000000,461474523000000,338939145000000,122535378000000,137702616000000,137702616000000,18481872000000,17279082000000,0,24708835000000,599177139000000,34245504000000,4723802000000,92250092000000,14865254000000,0,38139356000000,38688573000000,9892369000000,89096108000000,60718449000000,86955653000000,636024000000,6362514000000,9250972000000,6194244000000,14153728000000,VIC,2026-02-10,VCI
VIC,2023,1,291950102000000,17449584000000,7151127000000,149222786000000,91911380000000,26215225000000,304927080000000,2491207000000,135367481000000,39607843000000,10228952000000,0,9571811000000,596877182000000,460565227000000,316175727000000,144389500000000,136311955000000,136311955000000,18481872000000,15463409000000,0,25048317000000,596877182000000,38536483000000,8104630000000,99659336000000,14268865000000,0,38139356000000,38688573000000,9826651000000,114346529000000,69296654000000,64421582000000,700469000000,6287383000000,9246752000000,5770239000000,10051662000000,VIC,2026-02-10,VCI
VIC,2022,4,272222529000000,26209213000000,4367612000000,117446829000000,98527655000000,25671220000000,302584761000000,2486207000000,122908696000000,38400267000000,11170860000000,0,8920254000000,574807290000000,439194193000000,296551641000000,142642552000000,135613097000000,135613097000000,18481872000000,14009307000000,0,25915402000000,574807290000000,38926568000000,8257466000000,103707060000000,13300057000000,0,38139356000000,38688573000000,9866970000000,120091950000000,74825233000000,48068184000000,764567000000,5642485000000,10707516000000,645829000000,10020595000000,VIC,2026-02-10,VCI
VIC,2022,3,269408836000000,26449568000000,2196725000000,129462314000000,85750571000000,25549658000000,286162181000000,760000000000,114594496000000,39287565000000,10535545000000,0,8553436000000,555571017000000,418345604000000,286327011000000,132018593000000,137225413000000,137225413000000,18481872000000,14947729000000,0,26462392000000,555571017000000,44267122000000,16414064000000,91632929000000,13998301000000,0,38139356000000,38688573000000,9975926000000,109703346000000,72443004000000,62819714000000,848710000000,5204514000000,10244970000000,578058000000,8226617000000,VIC,2026-02-10,VCI
VIC,2022,2,257499676000000,42208684000000,6096584000000,104422003000000,80978106000000,23794299000000,271458225000000,1000000000,113397188000000,39659054000000,10523548000000,0,8499494000000,528957901000000,396914172000000,264119744000000,132794428000000,132043729000000,132043729000000,18481872000000,9873003000000,0,26380160000000,528957901000000,37192055000000,15694064000000,85863413000000,13998311000000,0,38139356000000,38688573000000,9714070000000,110949499000000,62718522000000,45924301000000,958706000000,5209615000000,10200737000000,426196000000,7393553000000,VIC,2026-02-10,VCI
VIC,2022,1,169506762000000,15241944000000,3648828000000,83585995000000,52375294000000,14654701000000,271859761000000,840000000000,127068186000000,38162022000000,10313117000000,0,7481974000000,441366523000000,306808076000000,148450387000000,158357689000000,134558447000000,134558447000000,18481872000000,6487625000000,0,32215228000000,441366523000000,30163319000000,13892113000000,54514850000000,5881540000000,0,38139356000000,38688573000000,9518301000000,109348630000000,18973690000000,30199211000000,1036814000000,5370221000000,9305815000000,555175000000,1395175000000,VIC,2026-02-10,VCI
VIC,2021,4,163350836000000,19653270000000,6758243000000,74342928000000,50910386000000,11686009000000,263973098000000,455249000000,130455105000000,35128444000000,9151771000000,0,8334919000000,427323934000000,268177346000000,144444929000000,123732417000000,159146588000000,159146588000000,18481872000000,3897264000000,0,59500115000000,427323934000000,21767291000000,14824123000000,53074286000000,2895599000000,0,38052148000000,38675533000000,9550120000000,102180175000000,22352075000000,20035038000000,1859464000000,5806361000000,8831485000000,143707000000,598956000000,VIC,2026-02-10,VCI
VIC,2021,3,180400355000000,21262502000000,7601808000000,83792891000000,55382094000000,12361060000000,253202280000000,713250000000,123390828000000,34584614000000,7264511000000,0,10432560000000,433602635000000,269305555000000,148238154000000,121067401000000,164297080000000,164297080000000,18481872000000,3670170000000,0,64865034000000,433602635000000,20028857000000,14583666000000,57978250000000,3671599000000,0,38052148000000,38675533000000,9529823000000,102280509000000,29008286000000,26628727000000,2036798000000,7256790000000,6852073000000,357177000000,1070427000000,VIC,2026-02-10,VCI
VIC,2021,2,167653553000000,23302535000000,10327516000000,64858568000000,56696855000000,12468079000000,251294495000000,2580500000000,126706848000000,34349500000000,7126676000000,0,10598792000000,418948048000000,274560500000000,159335062000000,115225438000000,144387548000000,144387548000000,7235206000000,8881396000000,0,55154462000000,418948048000000,18101577000000,12882666000000,58901807000000,4320808000000,0,33824306000000,34447691000000,0,105405709000000,37293446000000,32767397000000,2229284000000,7082575000000,6702715000000,357711000000,2938211000000,VIC,2026-02-10,VCI
VIC,2021,1,162828936000000,23042288000000,5969254000000,59565070000000,62787770000000,11464554000000,257003769000000,5938500000000,125039799000000,34418773000000,7424927000000,0,12250583000000,419832705000000,280058250000000,162523560000000,117534690000000,139774455000000,139774455000000,7235206000000,6428726000000,0,58523318000000,419832705000000,17743218000000,7804268000000,64183158000000,3058624000000,0,33824306000000,34447691000000,5503265000000,98827099000000,34851877000000,34038016000000,2371491000000,7700159000000,6930517000000,1483208000000,7421708000000,VIC,2026-02-10,VCI
VIC,2020,4,164454221000000,28175943000000,11763511000000,55764939000000,57224825000000,11525003000000,259813564000000,6015000000000,125080437000000,34965684000000,7413792000000,0,13176930000000,424267785000000,288510783000000,174675122000000,113835661000000,135757002000000,135757002000000,7235206000000,4089007000000,0,56769798000000,424267785000000,18340419000000,8539910000000,58259220000000,3134972000000,0,33824306000000,34447691000000,5505646000000,98309224000000,37196791000000,26849120000000,2523804000000,8169982000000,4576668000000,1220669000000,7235669000000,VIC,2026-02-10,VCI
VIC,2020,3,182768718000000,30288635000000,4987739000000,58665039000000,72027916000000,16799389000000,247241896000000,5371000000000,120698373000000,33422672000000,13240747000000,0,10661691000000,430010614000000,305459007000000,183306409000000,122152598000000,124551607000000,124551607000000,7235206000000,7211234000000,0,42455716000000,430010614000000,16284325000000,10285997000000,73829548000000,8351044000000,0,33824306000000,34447691000000,5518344000000,107564345000000,44251546000000,30629236000000,1917072000000,6734036000000,9552258000000,1132227000000,6503227000000,VIC,2026-02-10,VCI
VIC,2020,2,185917400000000,26969148000000,870606000000,62466261000000,82724131000000,12887254000000,241266647000000,5385970000000,119489039000000,33207072000000,12450799000000,0,10191839000000,427184047000000,303486797000000,192732567000000,110754230000000,123697250000000,123697250000000,7235206000000,6305909000000,0,42509188000000,427184047000000,17507318000000,11148978000000,84917536000000,4487177000000,0,33824306000000,34447691000000,5516245000000,96280752000000,50315233000000,42123105000000,2094681000000,6646274000000,10361992000000,1027927000000,6413897000000,VIC,2026-02-10,VCI
