cp,năm,kỳ,tăng_trưởng_doanh_thu,doanh_thu_đồng,lợi_nhuận_sau_thuế_của_cổ_đông_công_ty_mẹ_đồng,tăng_trưởng_lợi_nhuận,thu_nhập_tài_chính,chi_phí_tiền_lãi_vay,doanh_thu_bán_hàng_và_cung_cấp_dịch_vụ,các_khoản_giảm_trừ_doanh_thu,doanh_thu_thuần,giá_vốn_hàng_bán,lãi_gộp,chi_phí_tài_chính,lãi_lỗ_từ_công_ty_liên_doanh,chi_phí_bán_hàng,chi_phí_quản_lý_dn,lãi_lỗ_từ_hoạt_động_kinh_doanh,thu_nhập_khác,lãi_lỗ_trong_công_ty_liên_doanh_liên_kết,thu_nhập_chi_phí_khác,lợi_nhuận_khác,ln_trước_thuế,chi_phí_thuế_tndn_hiện_hành,chi_phí_thuế_tndn_hoãn_lại,lợi_nhuận_thuần,cổ_đông_thiểu_số,cổ_đông_của_công_ty_mẹ,symbol,extracted_at,source
VIC,2025,4,1.63,163172673000000,6768417000000,2.09,10604897000000,-8221721000000,163172673000000,-13272000000,163159401000000,-126151720000000,37007681000000,-16517839000000,609584000000,-12699153000000,-5382229000000,13622941000000,361606000000,0,-2867712000000,-2506106000000,11116835000000,-7162558000000,-372955000000,3581322000000,-3187095000000,6768417000000,VIC,2026-02-10,VCI
VIC,2025,3,-0.38,39143023000000,640184000000,-0.88,33505199000000,-9027158000000,39143023000000,-7920000000,39135103000000,-46425078000000,-7289975000000,-11787443000000,217925000000,-5780237000000,-4036012000000,4829457000000,676227000000,0,-1481307000000,-805080000000,4024377000000,-1180051000000,181012000000,3025338000000,2385154000000,640184000000,VIC,2026-02-10,VCI
VIC,2025,2,0.10,46435488000000,-940909000000,0.73,2506905000000,-7614201000000,46435488000000,-12999000000,46422489000000,-43007211000000,3415278000000,-11617305000000,85634000000,-5435610000000,-3118332000000,-14163430000000,18692171000000,0,-751681000000,17940490000000,3777060000000,-1353012000000,-127515000000,2296533000000,3237442000000,-940909000000,VIC,2026-02-10,VCI
VIC,2025,1,2.87,84057598000000,6978763000000,-0.12,3881715000000,-6102357000000,84057598000000,-4249000000,84053349000000,-64848134000000,19205215000000,-7903431000000,225050000000,-4684338000000,-5566348000000,5157863000000,5350497000000,0,-3126497000000,2224000000000,7381863000000,-4747228000000,-391366000000,2243269000000,-4735494000000,6978763000000,VIC,2026-02-10,VCI
VIC,2024,4,1.26,62156465000000,2192432000000,14.81,10112054000000,-6919631000000,62156465000000,-4058000000,62152407000000,-52964454000000,9187953000000,-7714717000000,163184000000,-5937317000000,-4861211000000,949946000000,5732844000000,0,-1235905000000,4496939000000,5446885000000,-3463508000000,-775862000000,1207515000000,-984917000000,2192432000000,VIC,2026-02-10,VCI
VIC,2024,3,0.31,62862398000000,5294923000000,8.91,8572435000000,-5608268000000,62862398000000,-12381000000,62850017000000,-49776513000000,13073504000000,-7603299000000,216651000000,-5158086000000,-3511074000000,5590131000000,377588000000,0,-1262322000000,-884734000000,4705397000000,-4742333000000,2051847000000,2014911000000,-3280012000000,5294923000000,VIC,2026-02-10,VCI
VIC,2024,2,-0.10,42332284000000,-3529017000000,-2.93,10300290000000,-5622417000000,42332284000000,-5170000000,42327114000000,-35190202000000,7136912000000,-8613126000000,483574000000,-3637934000000,-3447487000000,2222229000000,2882661000000,0,-977463000000,1905198000000,4127427000000,-3478515000000,75965000000,724877000000,4253894000000,-3529017000000,VIC,2026-02-10,VCI
VIC,2024,1,-0.44,21739452000000,7934469000000,6.44,18940713000000,-4829728000000,21739452000000,-950000000,21738502000000,-23693642000000,-1955140000000,-7276953000000,-14636000000,-3320582000000,-3436064000000,2937338000000,1075553000000,0,-1519012000000,-443459000000,2493879000000,-1229219000000,70416000000,1335076000000,-6599393000000,7934469000000,VIC,2026-02-10,VCI
VIC,2023,4,-0.33,27451788000000,-158766000000,-1.10,5630560000000,-5379584000000,27451788000000,-24016000000,27427772000000,-30246755000000,-2818983000000,-6040548000000,3524000000,-3116062000000,-5046501000000,-11388010000000,14175489000000,0,-1481631000000,12693858000000,1305848000000,-14554000000,-796625000000,494669000000,653435000000,-158766000000,VIC,2026-02-10,VCI
VIC,2023,3,0.67,47955856000000,-669037000000,-1.71,1311631000000,-5504380000000,47955856000000,-7950000000,47947906000000,-36208361000000,11739545000000,-8209852000000,17845000000,-3225379000000,-3778148000000,-2144358000000,7312453000000,0,-692763000000,6619690000000,4475332000000,-3913879000000,5815000000,567268000000,1236305000000,-669037000000,VIC,2026-02-10,VCI
