Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
VIC,2025,4,3.68,6.40,1.28,1.96,0.34,1.76,37.19,224.78,68.13,330.11,1.62,0.12,0.23,0.04,0.09,0.01,0.01,37933399000000.00,18926299000000,1.12,0.12,0.77,-2.30,7.40,1019507904475200.00,7706031024.00,76.08,6.86,3.06,13.71,878.33,19288.27,33.89,VIC,2026-02-10,VCI
VIC,2025,3,3.25,5.72,1.14,2.09,0.25,1.26,49.45,264.73,80.45,394.62,1.38,-0.44,-0.19,0.02,0.06,-0.03,0.01,12687946000000.00,-17106224000000,1.06,0.13,0.73,1.89,6.72,1234506170044800.00,7706031024.00,139.64,8.47,5.33,9.55,83.08,18908.57,118.26,VIC,2026-02-10,VCI
VIC,2025,2,2.74,5.04,1.16,2.05,0.30,1.39,44.16,234.54,74.33,353.02,1.56,-0.11,0.07,-0.02,0.10,0.02,0.02,31552104000000.00,-5138664000000,1.03,0.15,0.77,0.67,6.04,816453986992800.00,3853015512.00,60.77,5.66,3.20,6.91,-244.20,37465.45,32.80,VIC,2026-02-10,VCI
VIC,2025,1,2.52,4.23,1.15,2.04,0.32,1.37,42.41,229.52,71.14,343.07,1.59,0.11,0.23,0.08,0.08,0.03,0.01,36311744000000.00,8954529000000,0.84,0.08,0.59,-1.47,5.23,432073756393000.00,3823661561.00,40.04,2.99,1.72,14.69,1825.15,37771.64,18.19,VIC,2026-02-10,VCI
VIC,2024,4,2.30,4.44,1.19,1.99,0.25,1.10,57.11,258.47,90.15,405.74,1.41,-0.03,0.15,0.04,0.09,-0.02,0.02,16725716000000.00,-1610575000000,0.78,0.09,0.56,0.23,5.44,269568140050500.00,3823661561.00,22.97,1.96,1.43,13.12,573.39,35933.31,28.93,VIC,2026-02-10,VCI
VIC,2024,3,1.99,3.82,1.14,2.12,0.21,0.87,62.89,308.89,92.89,464.67,1.18,0.07,0.21,0.08,0.07,-0.04,0.01,6603302000000.00,4404344000000,0.90,0.06,0.63,-0.79,4.82,153711194752200.00,3823661561.00,16.31,1.14,1.00,-5.36,1384.78,35261.93,55.73,VIC,2026-02-10,VCI
VIC,2024,2,2.05,3.45,1.14,2.10,0.21,0.84,70.55,307.33,98.10,475.98,1.19,0.00,0.17,-0.08,0.03,-0.04,0.01,5229184000000.00,51491000000,0.85,0.07,0.59,-0.01,4.45,161167334796150.00,3823661561.00,45.51,1.24,1.16,-7.46,-922.94,33888.12,74.06,VIC,2026-02-10,VCI
VIC,2024,1,2.11,3.40,1.11,2.04,0.22,0.92,72.38,285.27,101.05,458.69,1.28,-0.40,-0.09,0.36,0.07,-0.03,0.01,8318407000000.00,-8711786000000,0.89,0.07,0.64,1.80,4.40,159637870171750.00,3823661561.00,18.10,1.22,1.11,-6.50,2075.10,34095.77,46.51,VIC,2026-02-10,VCI
VIC,2023,4,2.09,3.50,1.08,1.91,0.26,1.15,62.70,272.67,94.50,429.87,1.34,-0.40,-0.10,-0.01,0.02,-0.01,0.00,15137156000000.00,-10981546000000,0.86,0.07,0.63,2.04,4.52,185256402630450.00,3823661561.00,86.91,1.63,1.15,-9.37,-41.52,29746.62,25.50,VIC,2026-02-10,VCI
