cp,năm,kỳ,tài_sản_ngắn_hạn_đồng,tiền_và_tương_đương_tiền_đồng,giá_trị_thuần_đầu_tư_ngắn_hạn_đồng,các_khoản_phải_thu_ngắn_hạn_đồng,hàng_tồn_kho_ròng,tài_sản_lưu_động_khác,tài_sản_dài_hạn_đồng,phải_thu_về_cho_vay_dài_hạn_đồng,tài_sản_cố_định_đồng,giá_trị_ròng_tài_sản_đầu_tư,đầu_tư_dài_hạn_đồng,lợi_thế_thương_mại,tài_sản_dài_hạn_khác,tổng_cộng_tài_sản_đồng,nợ_phải_trả_đồng,nợ_ngắn_hạn_đồng,nợ_dài_hạn_đồng,vốn_chủ_sở_hữu_đồng,vốn_và_các_quỹ_đồng,các_quỹ_khác,lãi_chưa_phân_phối_đồng,lợi_ích_của_cổ_đông_thiểu_số,tổng_cộng_nguồn_vốn_đồng,trả_trước_cho_người_bán_ngắn_hạn_đồng,phải_thu_về_cho_vay_ngắn_hạn_đồng,hàng_tồn_kho_ròng_đồng,tài_sản_lưu_động_khác_đồng,quỹ_đầu_tư_và_phát_triển_đồng,cổ_phiếu_phổ_thông_đồng,vốn_góp_của_chủ_sở_hữu_đồng,vay_và_nợ_thuê_tài_chính_dài_hạn_đồng,người_mua_trả_tiền_trước_ngắn_hạn_đồng,vay_và_nợ_thuê_tài_chính_ngắn_hạn_đồng,lợi_thế_thương_mại_đồng,trả_trước_dài_hạn_đồng,tài_sản_dài_hạn_khác_đồng,phải_thu_dài_hạn_khác_đồng,phải_thu_dài_hạn_đồng,symbol,extracted_at,source,vốn_ngân_sách_nhà_nước_và_quỹ_khác,trái_phiếu_chuyển_đổi_đồng
VNM,2025,4,36261180908033,1794879718871,21354863600460,6027719081073,6839279842936,244438664693,17051189809268,0,12648916412221,51780183216.00,957072946110,0,2049361473261,53312370717301,18829355431194,18520286019795,309069411399,34483015286107,34483015286107,746826728845.00,8522576422223,3797632379221,53312370717301,443955080617,0,6897878201557,0,78722924597,20899554450000,20899554450000,62907826150,253080586375,9393736731992,829364095821,1104735884699,94578411081,23255275322,23255275322,VNM,2026-02-10,VCI,,
VNM,2025,3,38746850813464,5154466367051,21133947314899,5910568513570,6308583334358,239285283586,16930971193199,0,12862945466334,52191022746.00,820153506859,0,1954084125070,55677822006663,17725023298796,17327809293171,397214005625,37952798707867,37952798707867,746826728845.00,11926642770429,3854830030323,55677822006663,320501373067,0,6348324750984,0,78722924597,20899554450000,20899554450000,147666530200,272600338602,8124847764469,891535427721,982715156021,94580895081,20826155877,21074688360,VNM,2026-02-10,VCI,,
VNM,2025,2,38255091705279,2498443286245,22249418458587,6147236082985,7047730548255,312263329207,17027569539096,0,12784785512923,52629612552.00,813459142512,0,1861528674115,55282661244375,19595608095818,19190691020760,404917075058,35687053148557,35687053148557,746826728845.00,9620701471578,3912698835610,55282661244375,596144052565,0,7090237799909,0,78722924597,20899554450000,20899554450000,152078435000,410601427538,9636808735983,953706759621,853505075208,94575639081,20202578311,20530844673,VNM,2026-02-10,VCI,,
VNM,2025,1,38407988421683,2538024316626,23170818696485,5469228387577,6979212103573,250704917422,16605801806083,0,12309661362750,53123702862.00,709385535593,0,1853359584072,55013790227766,17391301675751,16981777958867,409523716884,37622488552015,37622488552015,746826728845.00,4474317011269,3925281266941,55013790227766,438005266850,0,7015839015752,0,7221110105727,20899554450000,20899554450000,153956088000,123043188304,10060066017395,1015202316174,785471676757,94555479081,17985169594,18364622300,VNM,2026-02-10,VCI,,
VNM,2024,4,37553650065098,2225943732075,23260088671767,6233758612009,5686840161996,147018887251,17495411471963,0,12550564799221,53617793172.00,1373189677193,0,1960671058977,55049061537061,18874658707398,18459546837640,415111869758,36174402829663,36174402829663,499080803215.00,3471224745772,3895583288658,55049061537061,566479222775,0,5723932310689,0,7079114621362,20899554450000,20899554450000,157903902450,191336029327,9115435107250,1076022097381,792476015491,94548675081,17193985694,17592137763,VNM,2026-02-10,VCI,,
VNM,2024,3,40582371278735,2616234711174,25982843560980,5606208371600,6103016741628,274067893353,17094709027717,0,11854249093819,54111883464.00,1279281871385,0,1964819160108,57677080306452,22432804394570,22021271584074,411532810496,35244275911882,35244275911882,499080803215.00,2870255668807,3873192446288,57677080306452,367957536152,0,6131878698983,0,6863056624805,20899554450000,20899554450000,157809038000,146441611517,8291496866090,1138317394539,794384673697,94519479081,16005712689,16564396401,VNM,2026-02-10,VCI,,
VNM,2024,2,37332761258942,1198562887528,23030876331498,6344861898250,6524270542824,234189598842,16861192929052,0,12295719976946,54605973774.00,831442109832,0,2028619337197,54193954187994,15856506854537,15403310205136,453196649401,38337447333457,38337447333457,499080803215.00,6000389351529,3991321826705,54193954187994,339915869823,0,6551775627864,0,6624903112567,20899554450000,20899554450000,183388966131,97078241927,7794314406895,1199157602325,818508689475,102012967081,16830343785,17417281595,VNM,2026-02-10,VCI,,
VNM,2024,1,35013917574413,1788254863348,20268129028720,5868614319329,6780799942377,308119420639,16639952197317,0,12472420651267,55100064084.00,691579094274,0,2115992745416,51653869771730,15786279136236,15294387986523,491891149713,35867590635494,35867590635494,499080803215.00,3816256605162,4013420132830,51653869771730,414596137009,0,6807924664755,0,6365526939523,20899554450000,20899554450000,211808624280,148395646131,6616831614710,1260542631131,834078714989,101994859081,16667638485,16667638485,VNM,2026-02-10,VCI,,
VNM,2023,4,35935879621477,2912027359925,20137243800460,6529705184034,6128081805088,228821471970,16737491482983,0,12689652377511,55594154394.00,831227597345,0,2207961712860,52673371104460,17647627338990,17138689974862,508937364128,35025743765470,35025743765470,499080803215.00,3926232003987,3328929059319,52673371104460,655619313409,0,6165935294543,0,6163736586996,20899554450000,20899554450000,238476074100,164712782108,8217757172267,1321927659937,871585543337,101975059081,16131990975,16131990975,VNM,2026-02-10,VCI,,
VNM,2023,3,37680161943052,6875567986039,19012123617176,5931433000484,5697772718120,163264621233,17287274060546,0,12056272942904,56088244686.00,1424817180754,0,2197526932930,54967436003598,20964371994291,20399327964197,565044030094,34003064009307,34003064009307,202658418215.00,3411311506574,3347498534087,54967436003598,633286108202,0,5723674480049,0,5932206859820,20899554450000,20899554450000,282904335540,200125679398,6873932117860,1383312688743,814214244187,101976499081,16146741451,16146741451,VNM,2026-02-10,VCI,,
