cp,năm,kỳ,tăng_trưởng_doanh_thu,doanh_thu_đồng,lợi_nhuận_sau_thuế_của_cổ_đông_công_ty_mẹ_đồng,tăng_trưởng_lợi_nhuận,thu_nhập_tài_chính,chi_phí_tiền_lãi_vay,doanh_thu_bán_hàng_và_cung_cấp_dịch_vụ,các_khoản_giảm_trừ_doanh_thu,doanh_thu_thuần,giá_vốn_hàng_bán,lãi_gộp,chi_phí_tài_chính,lãi_lỗ_từ_công_ty_liên_doanh,chi_phí_bán_hàng,chi_phí_quản_lý_dn,lãi_lỗ_từ_hoạt_động_kinh_doanh,thu_nhập_khác,lãi_lỗ_trong_công_ty_liên_doanh_liên_kết,thu_nhập_chi_phí_khác,lợi_nhuận_khác,ln_trước_thuế,chi_phí_thuế_tndn_hiện_hành,chi_phí_thuế_tndn_hoãn_lại,lợi_nhuận_thuần,cổ_đông_thiểu_số,cổ_đông_của_công_ty_mẹ,symbol,extracted_at,source
VNM,2025,4,0.10,17045421378817,2840367601702,0.34,358341189804,-89980184766,17045421378817,-11868972863,17033552405954,-10143535412610,6890016993344,-107566612631,23984472272,-3186832400615,-545076497173,3432867145001,128002667372,0,-83869930287,44132737085,3476999882086,-688334808992,38533967838,2827199040932,-13168560770,2840367601702,VNM,2026-02-10,VCI
VNM,2025,3,0.09,16968084097983,2526766558891,0.05,395840396288,-75464626344,16968084097983,-14852560120,16953231537863,-9865934701695,7087296836168,-91354486972,-194491871698,-3573752079537,-465785970174,3157752824075,37389682775,0,-69541892798,-32152210023,3125600614052,-644325193049,29257322200,2510532743203,-16233815688,2526766558891,VNM,2026-02-10,VCI
VNM,2025,2,0.00,16744609675338,2474585297998,-0.07,376333100451,-85204331624,16744609675338,-20012195784,16724597479554,-9702919554414,7021677925140,-109547632124,3760327370,-3711347500232,-462277916899,3118598303706,32160581071,0,-54670351500,-22509770429,3096088533277,-613806796858,6302943861,2488584680280,13999382282,2474585297998,VNM,2026-02-10,VCI
VNM,2025,1,-0.08,12965404856436,1568482188101,-0.29,366337215645,-75155207673,12965404856436,-30899523580,12934505332856,-7724022892977,5210482439879,-41765368480,16189054400,-3169757183300,-430929441463,1950556716681,48165047774,0,-47425568932,739478842,1951296195523,-326819068821,-37203858648,1587273268054,18791079953,1568482188101,VNM,2026-02-10,VCI
VNM,2024,4,-0.01,15485051436522,2123649268482,-0.09,394631907537,-66109861870,15485051436522,-7978311081,15477073125441,-9267382480456,6209690644985,-140107172656,23396009808,-3351121538996,-554570624982,2581919225696,121552139821,0,-60102594612,61449545209,2643368770905,-555142311297,58564884369,2146791343977,23142075495,2123649268482,VNM,2026-02-10,VCI
VNM,2024,3,-0.01,15548707382507,2403519104884,-0.04,430476492135,-62624826693,15548707382507,-11370069034,15537337313473,-9135891859183,6401445454290,-97962433824,-5059420447,-3336422575566,-421729399873,2970748116715,37227938682,0,-66174414919,-28946476237,2941801640478,-573837659232,35189074022,2403153055268,-366049616,2403519104884,VNM,2026-02-10,VCI
VNM,2024,2,0.10,16665240843085,2670475017284,0.21,373183676511,-64294446778,16665240843085,-9453070612,16655787772473,-9588268993189,7067518779284,-87679063003,3339877558,-3574887401068,-455702658579,3325773210703,34843947651,0,-51974230124,-17130282473,3308642928230,-614203629137,1525922021,2695965221114,25490203830,2670475017284,VNM,2026-02-10,VCI
VNM,2024,1,0.01,14124890259766,2194666965600,0.18,387368759884,-86395425954,14124890259766,-12478942708,14112411317058,-8200889872493,5911521444565,-102489879376,10326196929,-3095275281176,-395914155553,2715537085273,37007652440,0,-46704335991,-9696683551,2705840401722,-497675570285,-1181461848,2206983369589,12316403989,2194666965600,VNM,2026-02-10,VCI
VNM,2023,4,0.04,15630458869279,2326013960066,0.24,428868705495,-96231603161,15630458869279,-11747924789,15618710944490,-9177098353000,6441612591490,-118785839541,-28037460234,-3493712827314,-504122733414,2725822436482,240821530736,0,-114579366839,126242163897,2852064600379,-527166047542,25806937118,2350705489955,24691529889,2326013960066,VNM,2026-02-10,VCI
VNM,2023,3,-0.03,15681494654705,2492254015001,0.08,483829853834,-79600679532,15681494654705,-44506970023,15636987684682,-9082087041307,6554900643375,-110138422955,-27632597830,-3382491600883,-432197136598,3086270738943,37955648630,0,-48436566422,-10480917792,3075789821151,-548401617475,5876182583,2533264386259,41010371258,2492254015001,VNM,2026-02-10,VCI
