Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source,symbol
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,,
VNM,2025,4,0.28,0.55,0.37,1.65,1.17,5.05,27.23,61.53,38.01,126.77,5.93,0.19,0.40,0.17,0.30,0.24,0.17,10910373206698.00,3158108095556,0.04,1.96,0.10,1.59,-35.10,1.55,145460898972000.00,2089955445.00,15.46,4.74,2.29,16.78,1359.06,14682.31,13.97,VNM,2026-02-10,VCI,VNM
VNM,2025,3,0.22,0.47,0.34,1.82,1.12,4.92,26.84,65.34,38.98,131.16,5.59,0.18,0.42,0.15,0.26,0.21,0.16,11886973069728.00,3047758786457,0.04,2.24,0.30,1.87,-40.39,1.47,141489983626500.00,2089955445.00,16.28,4.15,2.28,17.20,1209.00,16315.17,12.49,VNM,2026-02-10,VCI,VNM
VNM,2025,2,0.28,0.55,0.36,1.71,1.09,4.90,27.04,66.12,40.22,133.37,5.52,0.17,0.42,0.15,0.27,0.21,0.15,11505317651432.00,2848052508009,0.04,1.99,0.13,1.63,-33.43,1.55,132712170757500.00,2089955445.00,15.49,4.18,2.19,14.38,1184.04,15203.36,12.51,VNM,2026-02-10,VCI,VNM
VNM,2025,1,0.28,0.46,0.33,1.80,1.09,4.95,27.96,64.95,38.79,131.71,5.62,0.12,0.40,0.12,0.27,0.20,0.16,11696343274578.00,1609795815116,0.00,2.26,0.15,1.85,-21.42,1.46,126024313333500.00,2089955445.00,14.38,3.74,2.08,14.56,750.49,16123.41,11.77,VNM,2026-02-10,VCI,VNM
VNM,2024,4,0.26,0.52,0.35,1.73,1.15,4.90,28.36,59.95,38.73,127.04,6.09,0.15,0.40,0.14,0.29,0.23,0.17,12499712332272.00,2303998481007,0.04,2.03,0.12,1.73,-34.85,1.52,117664491553500.00,2089955445.00,12.53,3.65,1.90,12.15,1016.12,15444.74,10.19,VNM,2026-02-10,VCI,VNM
VNM,2024,3,0.24,0.64,0.34,1.69,1.15,5.02,28.20,64.85,37.78,130.83,5.63,0.17,0.41,0.15,0.30,0.24,0.18,12900036387813.00,2643293478851,0.03,1.84,0.12,1.57,-42.21,1.64,128741255412000.00,2089955445.00,13.42,4.10,2.08,14.51,1150.03,15010.41,10.73,VNM,2026-02-10,VCI,VNM
VNM,2024,2,0.21,0.41,0.32,1.83,1.16,5.01,28.01,63.91,37.54,129.47,5.71,0.18,0.42,0.16,0.30,0.23,0.18,12924710671414.00,3036928719637,0.02,2.42,0.08,2.00,-47.23,1.41,140445005904000.00,2089955445.00,14.50,4.09,2.26,16.23,1277.77,16433.90,11.70,VNM,2026-02-10,VCI,VNM
VNM,2024,1,0.20,0.44,0.35,1.72,1.15,4.94,27.74,64.36,37.49,129.59,5.67,0.17,0.42,0.16,0.29,0.24,0.18,12399703234105.00,2420332007836,0.00,2.29,0.12,1.85,-28.01,1.44,138564046003500.00,2089955445.00,15.04,4.35,2.29,15.99,1050.10,15241.55,11.90,VNM,2026-02-10,VCI,VNM
VNM,2023,4,0.25,0.50,0.36,1.68,1.19,4.91,28.54,59.74,41.21,129.49,6.11,0.16,0.41,0.15,0.29,0.22,0.18,11825606239806.00,2443777030762,0.04,2.10,0.17,1.74,-25.39,1.50,139400028181500.00,2089955445.00,15.71,4.40,2.31,17.67,1112.95,15166.26,12.09,VNM,2026-02-10,VCI,VNM
VNM,2023,3,0.22,0.62,0.35,1.63,1.17,5.02,28.27,61.97,40.59,130.83,5.89,0.18,0.42,0.16,0.27,0.23,0.17,11444085780622.00,2740211905894,0.04,1.85,0.34,1.57,-34.42,1.62,140445005904000.00,2089955445.00,16.69,4.58,2.35,15.54,1192.49,14668.05,12.59,VNM,2026-02-10,VCI,VNM
VNM,2023,2,0.18,0.39,0.32,1.75,1.21,5.06,28.24,61.05,39.43,128.72,5.98,0.17,0.40,0.14,0.26,0.22,0.16,11420616979783.00,2519939148334,0.02,2.43,0.12,1.97,-26.26,1.39,157791636097500.00,2089955445.00,19.18,4.71,2.62,16.90,1052.09,16013.85,14.52,VNM,2026-02-10,VCI,VNM
VNM,2023,1,0.20,0.43,0.34,1.65,1.18,4.99,28.51,63.29,40.34,132.14,5.77,0.15,0.39,0.13,0.26,0.22,0.16,11288070587267.00,2067091290344,0.00,2.25,0.14,1.78,-25.12,1.43,153611725207500.00,2089955445.00,18.94,4.88,2.56,17.43,888.41,15072.85,14.31,VNM,2026-02-10,VCI,VNM
VNM,2022,4,0.15,0.48,0.36,1.57,1.18,4.87,27.40,62.66,43.01,133.07,5.83,0.14,0.39,0.12,0.25,0.26,0.17,11848623437435.00,2061657445163,0.04,2.06,0.15,1.70,-38.73,1.48,152148756396000.00,2089955445.00,17.86,5.10,2.54,17.23,894.34,14282.15,13.63,VNM,2026-02-10,VCI,VNM
VNM,2022,3,0.28,0.51,0.35,1.62,1.15,4.91,27.22,69.67,39.34,136.24,5.24,0.17,0.39,0.14,0.25,0.23,0.17,12240678940735.00,2688415991483,0.04,2.02,0.17,1.68,-53.83,1.51,168450408867000.00,2089955445.00,19.04,5.41,2.77,19.81,1099.74,14900.52,14.52,VNM,2026-02-10,VCI,VNM
VNM,2022,2,0.27,0.46,0.33,1.76,1.15,4.82,27.04,72.21,40.74,139.98,5.06,0.16,0.41,0.14,0.27,0.23,0.18,12813493688336.00,2383519819909,0.02,2.22,0.27,1.79,-64.94,1.46,154238711841000.00,2089955445.00,16.28,4.52,2.54,18.53,996.66,16333.35,12.66,VNM,2026-02-10,VCI,VNM
VNM,2022,1,0.32,0.52,0.36,1.67,1.17,4.79,26.70,71.59,42.37,140.66,5.10,0.19,0.41,0.16,0.29,0.25,0.19,13737264701360.00,2619580322203,0.02,2.01,0.10,1.58,-100.10,1.52,151521769762500.00,2089955445.00,14.82,4.71,2.46,18.06,1084.00,15406.05,11.91,VNM,2026-02-10,VCI,VNM
VNM,2021,4,0.27,0.49,0.35,1.72,1.20,4.59,25.59,62.03,39.05,126.67,5.88,0.15,0.43,0.14,0.30,0.26,0.21,13881656397698.00,2437646715046,0.04,2.12,0.14,1.72,-103.97,1.49,155074694019000.00,2089955445.00,14.72,4.69,2.55,16.44,1050.74,15829.66,11.88,VNM,2026-02-10,VCI,VNM
VNM,2021,3,0.27,0.54,0.39,1.62,1.16,4.43,26.34,67.81,42.99,137.14,5.38,0.20,0.43,0.18,0.31,0.27,0.21,13601560472712.00,3241803032663,0.03,1.94,0.12,1.58,-133.00,1.54,174302284113000.00,2089955445.00,16.56,5.61,2.93,17.88,1399.92,14878.97,13.54,VNM,2026-02-10,VCI,VNM
VNM,2021,2,0.29,0.54,0.38,1.64,1.16,4.31,26.85,66.56,43.43,136.85,5.48,0.21,0.44,0.18,0.32,0.27,0.21,13895088863274.00,3279214356078,0.02,1.93,0.09,1.56,-116.81,1.54,188304985594500.00,2089955445.00,17.64,5.95,3.20,19.95,1356.39,15131.73,14.32,VNM,2026-02-10,VCI,VNM
VNM,2021,1,0.28,0.50,0.40,1.63,1.18,4.21,26.64,64.27,40.44,131.35,5.68,0.21,0.44,0.20,0.33,0.27,0.22,14005399715840.00,2801654559131,0.00,1.99,0.07,1.59,-217.08,1.50,180363154903500.00,2089955445.00,16.53,5.76,3.07,19.00,1232.52,14991.71,13.65,VNM,2026-02-10,VCI,VNM
